kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag,habitable_zone
6137681,K03932.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,1,1,356.535835,0.002534,-0.002534,433.62066,0.00435,-0.00435,1.281,78.02,-6.512,5.467,0.261,-0.261,3113.0,144.0,-144.0,28.27,3.96,-3.24,220.0,,,0.55,0.28,-0.17,25.7,1.0,q1_q17_dr25_tce,5385.0,187.0,-187.0,4.532,0.105,-0.086,0.75,0.105,-0.086,295.83484,41.426971,15.481,1
5119619,K04789.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,0,1,0,1.11205787,4.415e-06,-4.415e-06,132.01568,0.00355,-0.00355,0.008,0.441,-0.008,1.459,0.108,-0.108,118.7,8.8,-8.8,1.02,0.32,-0.1,1799.0,,,2484.64,2326.98,-750.52,16.1,1.0,q1_q17_dr25_tce,6098.0,192.0,-213.0,4.488,0.067,-0.202,0.932,0.287,-0.096,296.78345,40.229111,14.935,0
7902719,K05444.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,1,1,368.70839,0.01406,-0.01406,232.613,0.033,-0.033,0.5958,0.0739,-0.4523,6.08,1.0,-1.0,957.0,150.0,-150.0,2.87,1.12,-0.23,267.0,,,1.21,1.4,-0.32,12.2,1.0,q1_q16_tce,6409.0,184.0,-217.0,4.523,0.039,-0.294,0.887,0.345,-0.072,295.66922,43.654781,15.417,1
11560397,K08056.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,0,1,1,0.527673051,2.912e-06,-2.912e-06,131.82042,0.00521,-0.00521,0.216,0.259,-0.216,1.631,0.163,-0.163,28.3,2.8,-2.8,1.43,0.25,-0.76,4056.0,,,63629.23,36040.94,-51500.22,13.5,1.0,q1_q17_dr25_tce,6762.0,214.0,-262.0,3.738,0.544,-0.096,2.637,0.464,-1.391,292.54663,49.543373,13.699,0
9899193,K07244.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,0,1,1,1.332567821,,,132.0544581,,,0.413,,,3.4844,,,31.0,,,0.96,0.2,-0.26,2395.0,,,7802.17,4900.94,-4021.98,5.0,1.0,q1_q17_dr25_tce,6600.0,161.0,-181.0,4.047,0.234,-0.126,1.681,0.363,-0.444,295.15475,46.736641,13.191,0
10710755,K06080.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,4.816610903,7.36e-07,-7.36e-07,133.763636,0.000128,-0.000128,0.431,0.025,-0.018,3.82353,0.00743,-0.00743,80226.0,134.0,-134.0,26.15,6.86,-3.18,1050.0,,,287.3,217.25,-88.86,759.1,1.0,q1_q17_dr25_tce,5796.0,143.0,-158.0,4.472,0.091,-0.182,0.904,0.237,-0.11,281.9364,48.010059,14.843,0
11444952,K04040.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,1,0,0.678349364,5.509e-06,-5.509e-06,132.16318,0.0066,-0.0066,1.187,1.638,-0.22,3.092,0.463,-0.463,486.0,50.8,-50.8,19.06,4.62,-1.54,1844.0,,,2737.73,1959.31,-688.35,12.0,1.0,q1_q17_dr25_tce,5569.0,149.0,-166.0,4.566,0.03,-0.17,0.829,0.201,-0.067,285.81662,49.352699,14.261,0
5262539,K05144.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,491.08027,0.02564,-0.02564,202.7762,0.0419,-0.0419,0.4169,0.0148,-0.4168,7.42,1.6,-1.6,335.6,72.1,-72.1,1.86,0.66,-0.26,241.0,,,0.79,0.84,-0.26,7.9,1.0,q1_q17_dr24_tce,5931.0,164.0,-162.0,4.396,0.107,-0.249,0.997,0.358,-0.138,287.77182,40.448051,14.427,1
3542928,K04988.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,484.172005,0.008306,-0.008306,545.2208,0.0103,-0.0103,0.3737,0.0926,-0.3734,4.566,0.49,-0.49,518.2,55.6,-55.6,2.38,1.1,-0.23,235.0,,,0.72,1.01,-0.21,11.3,1.0,q1_q16_tce,5858.0,168.0,-218.0,4.456,0.049,-0.311,1.04,0.483,-0.101,290.96146,38.673439,13.881,1
8112013,K06969.01,,FALSE POSITIVE,FALSE POSITIVE,0.276,0,1,0,0,1.790518325,7.4e-08,-7.4e-08,132.9384734,3.43e-05,-3.43e-05,0.643,0.009,-0.004,3.34624,0.00323,-0.00323,61542.0,28.3,-28.3,32.19,9.67,-4.83,1850.0,,,2761.65,2341.35,-996.21,2493.3,1.0,q1_q17_dr25_tce,6586.0,148.0,-198.0,4.319,0.101,-0.188,1.219,0.366,-0.183,296.55594,43.967758,12.45,0
